구분,시군명,단지명,조성,관리 면적,입주업체 수
국가산업단지,군산,군산,조성 완료,6828,154
국가산업단지,군산,군산 2,조성 완료,14612,456
국가산업단지,익산,익산,조성 완료,1336,235
국가산업단지,익산,국가식품클러스터,조성 완료,2192,53
국가산업단지,군산,새만금,조성 중,18497,4
국가산업단지,전주,전주 탄소,계획 수립,656,0
일반산업단지,전주,전주 제1,조성 완료,1806,119
일반산업단지,전주,전주 제2,조성 완료,687,30
일반산업단지,전주,친환경첨단복합(1단계),조성 완료,291,47
일반산업단지,전주,친환경첨단복합3-1,조성 완료,284,2
일반산업단지,전주,자원순환,조성 완료,80,7
일반산업단지,군산,군산,조성 완료,5641,63
일반산업단지,익산,익산 제2,조성 완료,3309,190
일반산업단지,익산,익산 제3,조성 완료,2740,80
일반산업단지,익산,익산 제4,조성 완료,503,19
일반산업단지,정읍,정읍 제1,조성 완료,202,7
일반산업단지,정읍,정읍 제2,조성 완료,999,68
일반산업단지,정읍,정읍 제3,조성 완료,1025,52
일반산업단지,정읍,첨단과학,조성 완료,896,10
일반산업단지,김제,김제 순동,조성 완료,262,42
일반산업단지,김제,김제 지평선,조성 완료,2986,68
일반산업단지,완주,완주,조성 완료,3359,83
일반산업단지,완주,과학산업연구,조성 완료,3074,165
일반산업단지,완주,테크노밸리,조성 완료,1311,64
일반산업단지,부안,부안신재생,조성 완료,354,
일반산업단지,고창,고창일반,조성 중,848,
일반산업단지,완주,테크노밸리2,조성 중,2115,
일반산업단지,남원,남원 일반,조성 중,776,
도시첨단산업단지,전주,도시첨단,조성 완료,110,56
농공단지,군산,성산,조성 완료,142,23
농공단지,군산,서수,조성 완료,287,48
농공단지,군산,옥구,조성 완료,130,39
농공단지,군산,임피,조성 완료,239,20
농공단지,익산,삼기,조성 완료,131,27
농공단지,익산,황등,조성 완료,147,51
농공단지,익산,낭산,조성 완료,128,17
농공단지,익산,왕궁,조성 완료,330,17
농공단지,익산,함열,조성 완료,329,
농공단지,정읍,농소,조성 완료,185,6
농공단지,정읍,북면,조성 완료,211,39
농공단지,정읍,고부,조성 완료,151,15
농공단지,정읍,신태인,조성 완료,150,13
농공단지,정읍,신용,조성 완료,143,4
농공단지,정읍,태인,조성 완료,247,17
농공단지,정읍,소성특화,조성 완료,230,6
농공단지,남원,인월,조성 완료,50,1
농공단지,남원,어현,조성 완료,116,1
농공단지,남원,광치 1,조성 완료,140,17
농공단지,남원,광치 2,조성 완료,112,20
농공단지,남원,노암 1,조성 완료,147,18
농공단지,남원,노암 2,조성 완료,179,10
농공단지,남원,노암 3,조성 완료,325,14
농공단지,김제,황산,조성 완료,73,11
농공단지,김제,서흥,조성 완료,277,44
농공단지,김제,봉황,조성 완료,233,44
농공단지,김제,만경,조성 완료,215,26
농공단지,김제,월촌,조성 완료,145,18
농공단지,김제,대동,조성 완료,331,19
농공단지,김제,백구,조성 완료,329,25
농공단지,완주,이서,조성 완료,398,5
농공단지,진안,연장,조성 완료,53,8
농공단지,진안,진안 제2,조성 완료,146,37
농공단지,진안,홍삼한방,조성 완료,266,28
농공단지,무주,안성,조성 완료,94,7
농공단지,무주,무주,조성 완료,147,2
농공단지,무주,무주 제2,조성 완료,98,9
농공단지,장수,천천,조성 완료,57,9
농공단지,장수,장계,조성 완료,290,7
농공단지,장수,장수,조성 완료,143,7
농공단지,임실,신평,조성 완료,53,8
농공단지,임실,오수,조성 완료,132,20
농공단지,임실,임실,조성 완료,147,1
농공단지,임실,임실 제2,조성 완료,338,
농공단지,순창,가남,조성 완료,83,2
농공단지,순창,풍산,조성 완료,138,6
농공단지,순창,인계,조성 완료,149,11
농공단지,순창,쌍암,조성 완료,121,4
농공단지,순창,풍산 2,조성 완료,170,2
농공단지,고창,고수,조성 완료,106,23
농공단지,고창,아산,조성 완료,140,23
농공단지,고창,흥덕,조성 완료,315,14
농공단지,고창,복분자,조성 완료,196,11
농공단지,부안,줄포,조성 완료,89,14
농공단지,부안,부안,조성 완료,149,27
농공단지,부안,부안 2,조성 완료,344,9
농공단지,부안,부안 제3,조성 중,329,
농공단지,정읍,철도산업,조성 중,222,1
농공단지,완주,완주,계획 수립,299,
